nombre,longitud,latitud
Triatoma maculata,-71.95457,6.944127
Triatoma maculata,-71.6723,6.875414
Triatoma maculata,-71.6723,6.875414
Triatoma maculata,-72.441254,5.210695
Triatoma maculata,-72.441254,5.210695
Triatoma maculata,-72.641986,5.030349
Triatoma maculata,-72.643716,5.124395
Triatoma maculata,-72.589254,5.024459
Triatoma maculata,-72.622795,5.098449
Triatoma maculata,-72.611088,5.073942
Triatoma maculata,-72.58251,5.156521
Triatoma maculata,-72.58251,5.156521
Triatoma maculata,-72.287275,4.818043
Triatoma maculata,-72.102054,4.562284
Triatoma maculata,-72.830247,4.741785
Triatoma maculata,-72.830247,4.741785
Triatoma maculata,-72.830247,4.741785
Triatoma maculata,-72.882222,4.748056
Triatoma maculata,-72.867772,4.956445
Triatoma maculata,-72.824234,4.846357
Triatoma maculata,-72.824234,4.846357
Triatoma maculata,-72.747618,4.724905
Triatoma maculata,-72.806398,4.892246
Triatoma maculata,-72.806398,4.892246
Triatoma maculata,-72.806398,4.892246
Triatoma maculata,-72.141412,5.699724
Triatoma maculata,-72.161084,5.435193
Triatoma maculata,-71.889444,5.838333
Triatoma maculata,-71.889444,5.838333
Triatoma maculata,-71.889444,5.838333
Triatoma maculata,-71.889444,5.838333
Triatoma maculata,-71.889444,5.838333
Triatoma maculata,-71.889444,5.838334
Triatoma maculata,-71.889444,5.838335
Triatoma maculata,-71.880249,5.838336
Triatoma maculata,-71.880249,5.824504
Triatoma maculata,-71.978651,5.823397
Triatoma maculata,-71.729014,5.74587
Triatoma maculata,-71.729014,5.74587
Triatoma maculata,-71.983889,5.819167
Triatoma maculata,-71.470775,5.847281
Triatoma maculata,-70.913086,5.668271
Triatoma maculata,-71.946805,5.885262
Triatoma maculata,-71.982023,5.776479
Triatoma maculata,-71.939022,5.74138
Triatoma maculata,-72.27083,5.80933
Triatoma maculata,-71.963775,5.606723
Triatoma maculata,-71.856339,5.554947
Triatoma maculata,-71.951944,5.752222
Triatoma maculata,-72.73291,4.910854
Triatoma maculata,-71.356907,5.446877
Triatoma maculata,-72.987097,4.620684
Triatoma maculata,-72.839767,4.628307
Triatoma maculata,-75.816667,2.266667
Triatoma maculata,-72.366389,5.3875
Triatoma maculata,-72.366389,5.3875
Triatoma maculata,-72.536111,5.373056
Triatoma maculata,-72.536111,5.373056
Triatoma maculata,-72.211889,5.410444
Triatoma maculata,-73.165083,5.21833
Triatoma maculata,-72.359028,5.518139
Triatoma maculata,-72.220278,5.3875
Triatoma maculata,-72.36694,5.144528
Triatoma maculata,-72.20278,5.136111
Triatoma maculata,-72.348889,5.28075
Triatoma maculata,-72.211889,5.370694
Triatoma maculata,-72.218583,5.389361
Triatoma maculata,-72.226861,5.378444
Triatoma maculata,-72.204194,5.373972
Triatoma maculata,-72.251139,5.527028
Triatoma maculata,-72.284167,5.506389
Triatoma maculata,-72.344266,5.474517
Triatoma maculata,-72.316194,5.474556
Triatoma maculata,-72.319556,5.48525
Triatoma maculata,-72.298472,5.35575
Triatoma maculata,-72.190611,5.287111
Triatoma maculata,-72.408722,5.346
Triatoma maculata,-72.251139,5.527028
Triatoma maculata,-72.8425,5.297639
Triatoma maculata,-72.111056,5.309278
Triatoma maculata,-72.104944,5.312139
Triatoma maculata,-72.241417,5.300482
Triatoma maculata,-72.221583,5.367583
Triatoma maculata,-72.353722,5.172611
Triatoma maculata,-72.332972,5.159528
Triatoma maculata,-73.522122,9.7064
Triatoma maculata,-73.4635,10.596883
Triatoma maculata,-73.4635,10.596883
Triatoma maculata,-73.339099,10.525404
Triatoma maculata,-73.339099,10.525404
Triatoma maculata,-72.986667,11.508056
Triatoma maculata,-72.986667,11.508056
Triatoma maculata,-72.986667,11.508056
Triatoma maculata,-75.916667,14.90278
Triatoma maculata,-74.781503,9.796989
Triatoma maculata,-72.774785,4.312725
Triatoma maculata,-72.678846,6.525838
Triatoma maculata,-72.678846,6.525838
Triatoma maculata,-72.675038,6.510165
Triatoma maculata,-72.675038,6.510165
Triatoma maculata,-72.675038,6.510165
Triatoma maculata,-72.675038,6.510165
Triatoma maculata,-72.675038,6.510165
Triatoma maculata,-75.333333,1.83333
Triatoma maculata,-70.764083,5.234528
Triatoma maculata,-70.856278,5.143722
Triatoma maculata,-72.985889,11.506861
Triatoma maculata,-72.985889,11.506861
Triatoma maculata,-72.985889,11.506861
Triatoma maculata,-72.985889,11.506861
Triatoma maculata,-72.985889,11.506861
Triatoma maculata,-72.985083,11.506972
Triatoma maculata,-72.985444,11.506472
Triatoma maculata,-72.985444,11.506472
Triatoma maculata,-72.985083,11.506972
Triatoma maculata,-72.985083,11.506972
Triatoma maculata,-72.985083,11.506972
Triatoma maculata,-72.985083,11.506972
Triatoma maculata,-72.985083,11.506972
Triatoma maculata,-72.983917,11.507528
Triatoma maculata,-72.983917,11.507528
Triatoma maculata,-72.984472,11.507528
Triatoma maculata,-72.984472,11.507528
Triatoma maculata,-72.983917,11.507528
Triatoma maculata,-72.983917,11.507528
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.988222,11.508667
Triatoma maculata,-72.987972,11.508222
Triatoma maculata,-72.987972,11.508222
Triatoma maculata,-72.987972,11.508222
Triatoma maculata,-72.987361,11.511028
Triatoma maculata,-72.987361,11.511028
Triatoma maculata,-72.987361,11.511028
Triatoma maculata,-72.984694,11.508028
Triatoma maculata,-72.984694,11.508028
Triatoma maculata,-72.983917,11.508167
Triatoma maculata,-72.987139,11.510417
Triatoma maculata,-72.987139,11.510417
Triatoma maculata,-72.987139,11.510417
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.984722,11.505694
Triatoma maculata,-72.986083,11.506583
Triatoma maculata,-72.986389,11.507139
Triatoma maculata,-72.990083,11.504917
Triatoma maculata,-72.989528,11.503722
Triatoma maculata,-72.989528,11.503722
Triatoma maculata,-72.989528,11.503722
Triatoma maculata,-72.989528,11.503722
Triatoma maculata,-72.989528,11.503722
Triatoma maculata,-72.989528,11.503722
Triatoma maculata,-72.988583,11.504639
Triatoma maculata,-72.988583,11.504639
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.2256,11.1923
Triatoma maculata,-74.1203,11.1453
Triatoma maculata,-74.1203,11.1453
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1949,11.27
Triatoma maculata,-74.1267,11.2384
Triatoma maculata,-74.4069,9.413
Triatoma maculata,-74.3204,9.4144
Triatoma maculata,-74.3899,9.2285
Triatoma maculata,-74.3899,9.2285
Triatoma maculata,-74.3212,9.2376
Triatoma maculata,-74.7548,9.5024
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.8294,9.5872
Triatoma maculata,-74.4267,9.2419
Triatoma maculata,-74.4267,9.2419
Triatoma maculata,-74.4267,9.2419
Triatoma maculata,-74.4267,9.2419
Triatoma maculata,-75.0867,9.9567
Triatoma maculata,-75.0867,9.9567
Triatoma maculata,-74.5686,9.3069
Triatoma maculata,-74.5686,9.3069
Triatoma maculata,-74.5686,9.3069
Triatoma maculata,-74.5686,9.3069
Triatoma maculata,-74.5686,9.3069
Triatoma maculata,-74.5686,9.3069
Triatoma maculata,-74.2300,9.1472
Triatoma maculata,-74.3556,9.2403
Triatoma maculata,-74.3556,9.2403
Triatoma maculata,-74.3556,9.2403
Triatoma maculata,-70.7617,7.0903
Triatoma maculata,-71.7389,6.4622
Triatoma maculata,-71.4356,7.0303
Triatoma maculata,-70.2086,6.3019
Triatoma maculata,-71.0961,6.2831
Triatoma maculata,-72.5547,5.1731
Triatoma maculata,-71.7736,6.1619
Triatoma maculata,-72.2886,4.8172
Triatoma maculata,-7.8972,4.8783
Triatoma maculata,-72.1986,5.6406
Triatoma maculata,-71.8969,5.5508
Triatoma maculata,-72.0006,5.7303
Triatoma maculata,-71.7350,5.4250
Triatoma maculata,-72.1714,5.8331
Triatoma maculata,-72.7553,5.0186
Triatoma maculata,-71.6311,5.4306
Triatoma maculata,-72.8825,4.5553
Triatoma maculata,-72.4033,5.3517
Triatoma maculata,-73.2389,10.0358
Triatoma maculata,-73.9803,9.5011
Triatoma maculata,-73.2847,9.7050
Triatoma maculata,-73.8903,9.9761
Triatoma maculata,-73.9650,10.1506
Triatoma maculata,-73.7519,9.6622
Triatoma maculata,-73.3375,9.5642
Triatoma maculata,-73.1750,10.3886
Triatoma maculata,-73.1825,10.3375
Triatoma maculata,-73.2506,10.4769
Triatoma maculata,-74.1906,10.5928
Triatoma maculata,-74.2300,9.1472
Triatoma maculata,-74.7919,9.7919
Triatoma maculata,-74.3556,9.2403
Triatoma maculata,-74.5758,9.3236
Triatoma maculata,-74.8650,9.9017
Triatoma maculata,-72.7906,4.2903
Triatoma maculata,-72.7003,6.5314
Triatoma maculata,-73.3475,5.9486
Triatoma maculata,-70.4464,5.5075
Triatoma maculata,-70.8797,5.1292
