especie,longitud,latitud
Panstrongylus geniculatus,-69.883706,3.765600
Panstrongylus geniculatus,-74.957292,7.021996
Panstrongylus geniculatus,-74.969800,6.838300
Panstrongylus geniculatus,-75.197956,7.052638
Panstrongylus geniculatus,-75.226224,7.065848
Panstrongylus geniculatus,-75.210793,7.054371
Panstrongylus geniculatus,-75.169934,7.022127
Panstrongylus geniculatus,-75.193267,7.020313
Panstrongylus geniculatus,-76.415577,8.860435
Panstrongylus geniculatus,-76.460704,8.653459
Panstrongylus geniculatus,-76.339149,8.533338
Panstrongylus geniculatus,-75.267028,7.002780
Panstrongylus geniculatus,-75.308195,7.097912
Panstrongylus geniculatus,-74.774100,6.345600
Panstrongylus geniculatus,-75.049047,6.546588
Panstrongylus geniculatus,-75.160158,6.031479
Panstrongylus geniculatus,-75.151368,6.042602
Panstrongylus geniculatus,-75.108380,5.988748
Panstrongylus geniculatus,-75.138808,6.033582
Panstrongylus geniculatus,-75.201539,6.078153
Panstrongylus geniculatus,-75.143325,6.017667
Panstrongylus geniculatus,-75.164798,6.082218
Panstrongylus geniculatus,-75.202413,6.090004
Panstrongylus geniculatus,-75.205468,6.071560
Panstrongylus geniculatus,-75.109276,5.901832
Panstrongylus geniculatus,-76.408100,7.091475
Panstrongylus geniculatus,-76.433046,7.070118
Panstrongylus geniculatus,-75.222000,6.681000
Panstrongylus geniculatus,-75.917993,5.785333
Panstrongylus geniculatus,-75.620320,5.761681
Panstrongylus geniculatus,-74.804109,6.491679
Panstrongylus geniculatus,-74.670693,6.585130
Panstrongylus geniculatus,-74.721229,6.528921
Panstrongylus geniculatus,-74.670231,6.530304
Panstrongylus geniculatus,-74.717225,6.601936
Panstrongylus geniculatus,-74.848120,6.538068
Panstrongylus geniculatus,-74.840826,6.573103
Panstrongylus geniculatus,-74.806800,6.538700
Panstrongylus geniculatus,-76.764200,7.004440
Panstrongylus geniculatus,-75.144447,5.621587
Panstrongylus geniculatus,-75.219010,5.566288
Panstrongylus geniculatus,-75.948353,7.021285
Panstrongylus geniculatus,-74.575828,6.508488
Panstrongylus geniculatus,-74.503966,6.522624
Panstrongylus geniculatus,-74.803704,5.919228
Panstrongylus geniculatus,-74.906399,6.263887
Panstrongylus geniculatus,-74.735325,6.228416
Panstrongylus geniculatus,-74.901202,6.262211
Panstrongylus geniculatus,-74.947977,6.217260
Panstrongylus geniculatus,-74.839978,6.149224
Panstrongylus geniculatus,-74.832773,6.250278
Panstrongylus geniculatus,-74.889386,6.202064
Panstrongylus geniculatus,-74.958280,6.253943
Panstrongylus geniculatus,-74.935453,6.081488
Panstrongylus geniculatus,-74.971371,5.846079
Panstrongylus geniculatus,-75.076708,5.943664
Panstrongylus geniculatus,-75.095818,5.939520
Panstrongylus geniculatus,-75.061525,5.960950
Panstrongylus geniculatus,-74.971294,5.822757
Panstrongylus geniculatus,-76.503818,8.677544
Panstrongylus geniculatus,-76.486764,8.791645
Panstrongylus geniculatus,-76.596322,8.731444
Panstrongylus geniculatus,-75.048834,5.976319
Panstrongylus geniculatus,-75.047136,6.002771
Panstrongylus geniculatus,-74.905670,5.954400
Panstrongylus geniculatus,-74.960818,6.070001
Panstrongylus geniculatus,-74.997353,6.079776
Panstrongylus geniculatus,-74.997353,6.079776
Panstrongylus geniculatus,-76.360012,8.292913
Panstrongylus geniculatus,-76.407249,8.102616
Panstrongylus geniculatus,-76.271949,8.537613
Panstrongylus geniculatus,-74.902047,6.374345
Panstrongylus geniculatus,-74.959821,6.365293
Panstrongylus geniculatus,-74.927433,6.388644
Panstrongylus geniculatus,-75.021411,6.352956
Panstrongylus geniculatus,-75.017855,6.307272
Panstrongylus geniculatus,-75.041453,6.265543
Panstrongylus geniculatus,-74.911957,6.353898
Panstrongylus geniculatus,-75.043043,6.253677
Panstrongylus geniculatus,-75.066918,6.311156
