especie,longitud,latitud
Rhodnius pallescens,-74.996600,6.925300
Rhodnius pallescens,-75.201800,7.158100
Rhodnius pallescens,-76.650500,7.604400
Rhodnius pallescens,-74.858100,6.502300
Rhodnius pallescens,-76.566800,8.653000
Rhodnius pallescens,-76.723900,8.640800
Rhodnius pallescens,-76.800700,8.462300
Rhodnius pallescens,-76.800400,8.464600
Rhodnius pallescens,-76.801700,8.466200
Rhodnius pallescens,-76.801700,8.465800
Rhodnius pallescens,-76.797700,8.463400
Rhodnius pallescens,-76.802200,8.462400
Rhodnius pallescens,-76.750300,8.571100
Rhodnius pallescens,-76.687700,8.454400
Rhodnius pallescens,-76.674000,8.521100
Rhodnius pallescens,-76.636200,8.671100
Rhodnius pallescens,-76.644200,8.437800
Rhodnius pallescens,-76.726800,8.487800
Rhodnius pallescens,-76.638900,8.704400
Rhodnius pallescens,-74.673000,6.419400
Rhodnius pallescens,-74.624200,7.108100
Rhodnius pallescens,-74.954100,6.107700
Rhodnius pallescens,-76.638900,8.306600
Rhodnius pallescens,-74.733100,6.700000
Rhodnius pallescens,-74.175900,6.848900
Rhodnius pallescens,-75.492400,9.064600
Rhodnius pallescens,-75.577300,9.257600
Rhodnius pallescens,-75.380300,8.870600
Rhodnius pallescens,75.500300,8.870200
Rhodnius pallescens,75.515900,8.906700
Rhodnius pallescens,-73.840600,11.258600
Rhodnius pallescens,-74.120300,11.145300
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-74.030600,9.131100
Rhodnius pallescens,-73.938300,9.125200
Rhodnius pallescens,-73.938300,9.125200
Rhodnius pallescens,-73.903600,9.168900
Rhodnius pallescens,-74.093400,9.193200
Rhodnius pallescens,-74.093400,9.193200
Rhodnius pallescens,-74.093400,9.193200
Rhodnius pallescens,-73.908600,9.177500
Rhodnius pallescens,-73.908600,9.177500
Rhodnius pallescens,-73.975900,9.183300
Rhodnius pallescens,-73.917400,10.506100
Rhodnius pallescens,-74.320400,9.414400
Rhodnius pallescens,-75.212200,8.824800
Rhodnius pallescens,-75.212200,8.824800
Rhodnius pallescens,-74.882300,9.104800
Rhodnius pallescens,-75.002700,9.069800
Rhodnius pallescens,-74.899400,9.129300
Rhodnius pallescens,-74.621700,8.459800
Rhodnius pallescens,-75.284500,8.743000
Rhodnius pallescens,-74.942200,9.007700
Rhodnius pallescens,-75.055000,9.067600
Rhodnius pallescens,-75.055000,9.067600
Rhodnius pallescens,-75.080600,9.054500
Rhodnius pallescens,-75.231500,8.644100
Rhodnius pallescens,-75.146800,8.595000
Rhodnius pallescens,-75.321200,8.677900
Rhodnius pallescens,-75.175200,8.613500
Rhodnius pallescens,-75.144900,8.685200
Rhodnius pallescens,-75.321600,8.699500
Rhodnius pallescens,-75.640100,9.699100
Rhodnius pallescens,-75.600500,9.917500
Rhodnius pallescens,-75.600500,9.917500
Rhodnius pallescens,-75.487400,9.842800
Rhodnius pallescens,-75.487400,9.842800
Rhodnius pallescens,-75.487400,9.842800
Rhodnius pallescens,-75.428800,9.886000
Rhodnius pallescens,-76.433600,8.857200
Rhodnius pallescens,-76.433600,8.857200
Rhodnius pallescens,-74.586700,6.191700
Rhodnius pallescens,-74.533300,7.030800
Rhodnius pallescens,-74.533300,7.030800
Rhodnius pallescens,-76.530000,8.763100
Rhodnius pallescens,-76.360600,8.282200
Rhodnius pallescens,-76.360600,8.282200
Rhodnius pallescens,-75.402800,7.588100
Rhodnius pallescens,-76.731700,8.098100
Rhodnius pallescens,-74.801700,6.773100
Rhodnius pallescens,-74.801700,6.773100
Rhodnius pallescens,-73.914200,7.007800
Rhodnius pallescens,-74.871100,7.494200
Rhodnius pallescens,-75.304700,9.984700
Rhodnius pallescens,-74.426700,9.241900
Rhodnius pallescens,-74.426700,9.241900
Rhodnius pallescens,-74.426700,9.241900
Rhodnius pallescens,-75.086700,9.956700
Rhodnius pallescens,-74.054400,7.964400
Rhodnius pallescens,-74.054400,7.964400
Rhodnius pallescens,-74.054400,7.964400
Rhodnius pallescens,-75.411700,10.332500
Rhodnius pallescens,-76.241100,8.790000
Rhodnius pallescens,-75.588300,8.414700
Rhodnius pallescens,-75.588300,8.414700
Rhodnius pallescens,-75.702200,8.800600
Rhodnius pallescens,-75.841900,8.960300
Rhodnius pallescens,-75.280600,8.860600
Rhodnius pallescens,-73.589400,4.098300
Rhodnius pallescens,-75.189800,7.169500
Rhodnius pallescens,-76.275900,8.607900
Rhodnius pallescens,-76.392700,8.625700
Rhodnius pallescens,-76.658300,7.575500
Rhodnius pallescens,-74.748500,6.548400
Rhodnius pallescens,-76.708100,8.637800
Rhodnius pallescens,-76.650500,8.479500
Rhodnius pallescens,-76.787100,8.437100
Rhodnius pallescens,-76.566700,8.500800
Rhodnius pallescens,-76.566700,8.500800
Rhodnius pallescens,-76.566700,8.500800
Rhodnius pallescens,-74.657900,6.367200
Rhodnius pallescens,-74.756700,7.071200
Rhodnius pallescens,-74.628800,7.147400
Rhodnius pallescens,-76.611300,8.728300
Rhodnius pallescens,-76.515500,8.741800
Rhodnius pallescens,-76.870800,7.780900
Rhodnius pallescens,-76.611500,8.203800
Rhodnius pallescens,-76.484700,8.371700
Rhodnius pallescens,-74.840400,6.888600
Rhodnius pallescens,-74.741700,6.712800
Rhodnius pallescens,-73.633400,3.067000
Rhodnius pallescens,-73.616900,3.171700
Rhodnius pallescens,-67.653800,6.123700
Rhodnius pallescens,-73.835600,8.532500
Rhodnius pallescens,-72.638900,2.557900
Rhodnius pallescens,-74.785500,9.797300
Rhodnius pallescens,-75.257500,9.483600
Rhodnius pallescens,-74.630000,4.361100
Rhodnius pallescens,-74.498100,4.525000
Rhodnius pallescens,-74.498100,4.525000
Rhodnius pallescens,-74.551100,4.547500
Rhodnius pallescens,-74.551100,4.547500
Rhodnius pallescens,-74.516900,5.413300
Rhodnius pallescens,-74.516900,5.413300
Rhodnius pallescens,-74.443600,4.666700
Rhodnius pallescens,-74.195800,9.158800
Rhodnius pallescens,-73.316700,7.675700
Rhodnius pallescens,-73.900900,6.164000
Rhodnius pallescens,-73.900900,6.164000
Rhodnius pallescens,-73.900900,6.164000
Rhodnius pallescens,-73.770000,6.165200
Rhodnius pallescens,-73.810000,6.163500
Rhodnius pallescens,-73.810000,6.163500
Rhodnius pallescens,-73.810000,6.163500
Rhodnius pallescens,-73.766300,5.965600
Rhodnius pallescens,-73.766300,5.965600
Rhodnius pallescens,-73.766300,5.965600
Rhodnius pallescens,-73.914500,6.149000
Rhodnius pallescens,-73.914500,6.149000
Rhodnius pallescens,-73.914500,6.149000
Rhodnius pallescens,-73.914500,6.149000
Rhodnius pallescens,-73.914500,6.149000
Rhodnius pallescens,-72.672800,6.484500
Rhodnius pallescens,-72.672800,6.484500
Rhodnius pallescens,-72.672800,6.484500
Rhodnius pallescens,-73.516300,6.773300
Rhodnius pallescens,-73.595300,6.298200
Rhodnius pallescens,-73.578300,6.274000
Rhodnius pallescens,-73.578300,6.274000
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.623500,6.298400
Rhodnius pallescens,-73.914200,6.122100
Rhodnius pallescens,-73.914200,6.122100
Rhodnius pallescens,-73.914200,6.122100
Rhodnius pallescens,-73.914200,6.122100
Rhodnius pallescens,-73.914200,6.122100
Rhodnius pallescens,-73.185000,7.470700
Rhodnius pallescens,-73.225000,7.534200
Rhodnius pallescens,-73.367400,6.194300
Rhodnius pallescens,-73.489600,6.801100
Rhodnius pallescens,-73.489600,6.801100
Rhodnius pallescens,-73.388000,6.816600
Rhodnius pallescens,-73.388000,6.816600
Rhodnius pallescens,-73.388000,6.816600
Rhodnius pallescens,-73.388000,6.816600
Rhodnius pallescens,-73.820600,6.792100
Rhodnius pallescens,-73.771700,5.930200
Rhodnius pallescens,-73.771700,5.930200
Rhodnius pallescens,-73.771700,5.930200
Rhodnius pallescens,-73.626900,8.312500
Rhodnius pallescens,-73.238900,10.035800
Rhodnius pallescens,-73.817800,9.257800
Rhodnius pallescens,-73.606900,9.366900
Rhodnius pallescens,-73.548600,9.204200
Rhodnius pallescens,-73.744400,8.329200
Rhodnius pallescens,-73.337500,9.564200
Rhodnius pallescens,-73.175000,10.388600
Rhodnius pallescens,-73.631700,8.966100
Rhodnius pallescens,-73.388300,8.294400
Rhodnius pallescens,-73.389200,7.752500
Rhodnius pallescens,-73.182500,10.337500
Rhodnius pallescens,-73.515300,8.004700
Rhodnius pallescens,-73.818100,8.861400
Rhodnius pallescens,-73.250600,10.476900
Rhodnius pallescens,-74.675300,4.377500
Rhodnius pallescens,-74.539400,4.520300
Rhodnius pallescens,-74.599400,4.521700
Rhodnius pallescens,-74.495800,5.346900
Rhodnius pallescens,-74.949400,4.584700
Rhodnius pallescens,-74.800800,4.303100
Rhodnius pallescens,-74.466400,4.635800
Rhodnius pallescens,-73.354400,4.513600
Rhodnius pallescens,-74.607200,4.309400
Rhodnius pallescens,-74.126100,4.851100
Rhodnius pallescens,-74.368600,4.657200
Rhodnius pallescens,-73.051100,7.746400
Rhodnius pallescens,-73.450800,8.512800
Rhodnius pallescens,-72.605000,7.935600
Rhodnius pallescens,-73.335800,7.639200
