especie,longitud,latitud
Rhodnius prolixus,-72.636599,6.389893
Rhodnius prolixus,-72.576884,6.336288
Rhodnius prolixus,-72.576884,6.336288
Rhodnius prolixus,-72.626519,6.350078
Rhodnius prolixus,-72.649652,6.405934
Rhodnius prolixus,-72.624470,6.261117
Rhodnius prolixus,-72.624470,6.261117
Rhodnius prolixus,-72.622620,6.329002
Rhodnius prolixus,-72.622620,6.329002
Rhodnius prolixus,-72.634231,6.368535
Rhodnius prolixus,-72.638923,6.431352
Rhodnius prolixus,-72.638923,6.431352
Rhodnius prolixus,-72.593230,6.336361
Rhodnius prolixus,-73.104589,5.037547
Rhodnius prolixus,-73.080753,5.020308
Rhodnius prolixus,-73.080753,5.020308
Rhodnius prolixus,-73.080753,5.020308
Rhodnius prolixus,-73.090248,5.086085
Rhodnius prolixus,-73.090248,5.086085
Rhodnius prolixus,-73.104427,5.070892
Rhodnius prolixus,-73.104427,5.070892
Rhodnius prolixus,-73.104427,5.070892
Rhodnius prolixus,-73.104427,5.070892
Rhodnius prolixus,-73.104427,5.070892
Rhodnius prolixus,-73.153926,4.939707
Rhodnius prolixus,-73.133134,5.065625
Rhodnius prolixus,-73.133134,5.065625
Rhodnius prolixus,-73.172579,5.021542
Rhodnius prolixus,-73.130666,4.975325
Rhodnius prolixus,-73.130666,4.975325
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.153242,5.026990
Rhodnius prolixus,-73.410833,6.009722
Rhodnius prolixus,-73.400247,5.971888
Rhodnius prolixus,-73.400247,5.971888
Rhodnius prolixus,-73.400278,5.979444
Rhodnius prolixus,-73.420278,5.989444
Rhodnius prolixus,-73.420278,5.989444
Rhodnius prolixus,-73.413056,5.997500
Rhodnius prolixus,-73.384948,4.883852
Rhodnius prolixus,-72.743056,6.540278
Rhodnius prolixus,-72.743056,6.540278
Rhodnius prolixus,-72.743056,6.540278
Rhodnius prolixus,-72.107805,6.923135
Rhodnius prolixus,-72.107805,6.923135
Rhodnius prolixus,-72.107805,6.923135
Rhodnius prolixus,-73.272401,5.050966
Rhodnius prolixus,-73.272401,5.050966
Rhodnius prolixus,-73.356803,5.058227
Rhodnius prolixus,-73.506678,5.029978
Rhodnius prolixus,-73.506678,5.029978
Rhodnius prolixus,-73.506678,5.029978
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.502373,5.019337
Rhodnius prolixus,-73.503333,4.946944
Rhodnius prolixus,-73.526389,4.980278
Rhodnius prolixus,-73.470556,4.966667
Rhodnius prolixus,-73.470556,4.966667
Rhodnius prolixus,-73.470556,4.966667
Rhodnius prolixus,-73.500000,4.986389
Rhodnius prolixus,-73.509167,4.991667
Rhodnius prolixus,-73.518333,4.940556
Rhodnius prolixus,-73.243333,4.980000
Rhodnius prolixus,-73.243333,4.980000
Rhodnius prolixus,-73.458611,5.108889
Rhodnius prolixus,-73.458611,5.108889
Rhodnius prolixus,-72.575000,6.269167
Rhodnius prolixus,-72.575000,6.269167
Rhodnius prolixus,-72.575000,6.269167
Rhodnius prolixus,-72.608889,5.581111
Rhodnius prolixus,-72.611667,5.553889
Rhodnius prolixus,-72.611667,5.553889
Rhodnius prolixus,-73.356111,4.975833
Rhodnius prolixus,-73.310833,4.976111
Rhodnius prolixus,-73.246389,5.061389
Rhodnius prolixus,-73.349722,4.962500
Rhodnius prolixus,-73.345000,5.025556
Rhodnius prolixus,-73.571667,5.951944
Rhodnius prolixus,-73.567500,5.835833
Rhodnius prolixus,-73.567500,5.835833
Rhodnius prolixus,-73.567500,5.835833
Rhodnius prolixus,-73.567500,5.835833
Rhodnius prolixus,-73.567500,5.835833
Rhodnius prolixus,-73.623889,5.891111
Rhodnius prolixus,-73.567500,5.835833
Rhodnius prolixus,-73.579167,5.873056
Rhodnius prolixus,-73.579167,5.873056
Rhodnius prolixus,-73.568333,5.851389
Rhodnius prolixus,-73.568333,5.851389
Rhodnius prolixus,-74.176389,5.619167
Rhodnius prolixus,-74.176389,5.619167
Rhodnius prolixus,-74.266111,5.735833
Rhodnius prolixus,-73.376389,5.123611
Rhodnius prolixus,-73.024722,5.059444
Rhodnius prolixus,-73.017778,5.126389
Rhodnius prolixus,-73.034444,5.122778
Rhodnius prolixus,-73.054722,5.103333
Rhodnius prolixus,-73.047500,5.121389
Rhodnius prolixus,-73.047500,5.121389
Rhodnius prolixus,-73.070556,5.055278
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-72.471667,5.693333
Rhodnius prolixus,-74.485278,6.093333
Rhodnius prolixus,-74.486111,6.154722
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.210833,5.326944
Rhodnius prolixus,-73.089722,5.212222
Rhodnius prolixus,-73.080556,5.218056
Rhodnius prolixus,-73.088611,5.232222
Rhodnius prolixus,-73.088611,5.232222
Rhodnius prolixus,-73.151111,4.751667
Rhodnius prolixus,-73.106111,4.805833
Rhodnius prolixus,-72.576667,6.473056
Rhodnius prolixus,-72.576667,6.473056
Rhodnius prolixus,-72.576667,6.473056
Rhodnius prolixus,-72.577778,6.473056
Rhodnius prolixus,-72.588611,6.481389
Rhodnius prolixus,-72.591944,6.411667
Rhodnius prolixus,-72.591944,6.411667
Rhodnius prolixus,-72.571389,6.480556
Rhodnius prolixus,-72.585278,6.471389
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.680556,6.158056
Rhodnius prolixus,-72.680556,6.158056
Rhodnius prolixus,-72.685556,6.336944
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.691111,6.280833
Rhodnius prolixus,-72.695556,6.316667
Rhodnius prolixus,-73.424722,5.004444
Rhodnius prolixus,-73.424722,5.004444
Rhodnius prolixus,-73.409444,5.004444
Rhodnius prolixus,-73.409444,5.004444
Rhodnius prolixus,-73.409444,5.004444
Rhodnius prolixus,-72.642222,6.216111
Rhodnius prolixus,-72.642222,6.216111
Rhodnius prolixus,-72.642222,6.216111
Rhodnius prolixus,-73.423611,5.048889
Rhodnius prolixus,-73.461389,5.032778
Rhodnius prolixus,-73.417778,5.020000
Rhodnius prolixus,-73.417778,5.020000
Rhodnius prolixus,-73.417778,5.020000
Rhodnius prolixus,-73.434722,5.081389
Rhodnius prolixus,-72.692500,6.439167
Rhodnius prolixus,-72.673889,6.448056
Rhodnius prolixus,-72.673889,6.448056
Rhodnius prolixus,-72.673889,6.448056
Rhodnius prolixus,-72.690833,6.404444
Rhodnius prolixus,-72.690833,6.404444
Rhodnius prolixus,-72.690833,6.404444
